,Indicator Name,Country Code,Country Name,Year,Value,Location,Area,Population
233,"Proportion of population using basic sanitation services, URBAN (%)",PRT,Portugal,2014,99.32103000000001,URBAN,Urbanism,10295909
234,"Proportion of population using basic sanitation services, URBAN (%)",PRT,Portugal,2015,99.38303,URBAN,Urbanism,10295909
235,"Proportion of population using basic sanitation services, RURAL (%)",PRT,Portugal,2015,99.54484000000001,RURAL,Urbanism,10295909
236,"Proportion of population using basic sanitation services, RURAL (%)",PRT,Portugal,2016,99.78383000000001,RURAL,Urbanism,10295909
237,"Proportion of population using basic sanitation services, URBAN (%)",PRT,Portugal,2016,99.44503,URBAN,Urbanism,10295909
238,"Proportion of population using basic sanitation services, RURAL (%)",PRT,Portugal,2017,99.79529000000001,RURAL,Urbanism,10295909
239,"Proportion of population using basic sanitation services, URBAN (%)",PRT,Portugal,2017,99.50703,URBAN,Urbanism,10295909
240,"Proportion of population using basic sanitation services, RURAL (%)",GNB,Guinea-Bissau,2010,6.96005,RURAL,Urbanism,1874303
241,"Proportion of population using basic sanitation services, URBAN (%)",GNB,Guinea-Bissau,2010,31.80025,URBAN,Urbanism,1874303
242,"Proportion of population using basic sanitation services, RURAL (%)",GNB,Guinea-Bissau,2011,7.179880000000001,RURAL,Urbanism,1874303
243,"Proportion of population using basic sanitation services, URBAN (%)",GNB,Guinea-Bissau,2011,32.63606,URBAN,Urbanism,1874303
244,"Proportion of population using basic sanitation services, RURAL (%)",GNB,Guinea-Bissau,2012,7.393839999999999,RURAL,Urbanism,1874303
245,"Proportion of population using basic sanitation services, URBAN (%)",GNB,Guinea-Bissau,2012,33.48032,URBAN,Urbanism,1874303
246,"Proportion of population using basic sanitation services, RURAL (%)",GNB,Guinea-Bissau,2013,7.60193,RURAL,Urbanism,1874303
247,"Proportion of population using basic sanitation services, URBAN (%)",GNB,Guinea-Bissau,2013,34.33302,URBAN,Urbanism,1874303
248,"Proportion of population using basic sanitation services, RURAL (%)",GNB,Guinea-Bissau,2014,7.80415,RURAL,Urbanism,1874303
249,"Proportion of population using basic sanitation services, URBAN (%)",GNB,Guinea-Bissau,2014,35.19416,URBAN,Urbanism,1874303
250,"Proportion of population using basic sanitation services, RURAL (%)",GNB,Guinea-Bissau,2015,8.0005,RURAL,Urbanism,1874303
251,"Proportion of population using basic sanitation services, URBAN (%)",GNB,Guinea-Bissau,2015,36.06374,URBAN,Urbanism,1874303
252,"Proportion of population using basic sanitation services, RURAL (%)",GNB,Guinea-Bissau,2016,8.19098,RURAL,Urbanism,1874303
253,"Proportion of population using basic sanitation services, URBAN (%)",GNB,Guinea-Bissau,2016,36.94177,URBAN,Urbanism,1874303
254,"Proportion of population using basic sanitation services, RURAL (%)",GNB,Guinea-Bissau,2017,8.19098,RURAL,Urbanism,1874303
255,"Proportion of population using basic sanitation services, URBAN (%)",GNB,Guinea-Bissau,2017,36.94177,URBAN,Urbanism,1874303
256,"Proportion of population using basic sanitation services, RURAL (%)",TLS,Timor-Leste,2010,36.50867,RURAL,Urbanism,1300000
257,"Proportion of population using basic sanitation services, URBAN (%)",TLS,Timor-Leste,2010,70.1512,URBAN,Urbanism,1300000
258,"Proportion of population using basic sanitation services, RURAL (%)",TLS,Timor-Leste,2011,37.53052,RURAL,Urbanism,1300000
259,"Proportion of population using basic sanitation services, URBAN (%)",TLS,Timor-Leste,2011,71.01759,URBAN,Urbanism,1300000
260,"Proportion of population using basic sanitation services, URBAN (%)",TLS,Timor-Leste,2012,71.87017,URBAN,Urbanism,1300000
261,"Proportion of population using basic sanitation services, RURAL (%)",TLS,Timor-Leste,2012,38.55986,RURAL,Urbanism,1300000
262,"Proportion of population using basic sanitation services, RURAL (%)",TLS,Timor-Leste,2013,39.59668,RURAL,Urbanism,1300000
263,"Proportion of population using basic sanitation services, URBAN (%)",TLS,Timor-Leste,2013,72.70893000000001,URBAN,Urbanism,1300000
264,"Proportion of population using basic sanitation services, RURAL (%)",TLS,Timor-Leste,2014,40.64099,RURAL,Urbanism,1300000
265,"Proportion of population using basic sanitation services, URBAN (%)",TLS,Timor-Leste,2014,73.53388000000001,URBAN,Urbanism,1300000
266,"Proportion of population using basic sanitation services, RURAL (%)",TLS,Timor-Leste,2015,41.69279,RURAL,Urbanism,1300000
267,"Proportion of population using basic sanitation services, URBAN (%)",TLS,Timor-Leste,2015,74.34501,URBAN,Urbanism,1300000
268,"Proportion of population using basic sanitation services, URBAN (%)",TLS,Timor-Leste,2016,75.14233,URBAN,Urbanism,1300000
269,"Proportion of population using basic sanitation services, RURAL (%)",TLS,Timor-Leste,2016,42.75207,RURAL,Urbanism,1300000
270,"Proportion of population using basic sanitation services, RURAL (%)",TLS,Timor-Leste,2017,43.81884,RURAL,Urbanism,1300000
271,"Proportion of population using basic sanitation services, URBAN (%)",TLS,Timor-Leste,2017,75.92583,URBAN,Urbanism,1300000
272,"Proportion of population using basic sanitation services, URBAN (%)",STP,Sao Tome and Principe,2010,39.65211,URBAN,Urbanism,211028
273,"Proportion of population using basic sanitation services, RURAL (%)",STP,Sao Tome and Principe,2010,23.6231,RURAL,Urbanism,211028
274,"Proportion of population using basic sanitation services, RURAL (%)",STP,Sao Tome and Principe,2011,24.80461,RURAL,Urbanism,211028
275,"Proportion of population using basic sanitation services, URBAN (%)",STP,Sao Tome and Principe,2011,40.984629999999996,URBAN,Urbanism,211028
276,"Proportion of population using basic sanitation services, RURAL (%)",STP,Sao Tome and Principe,2012,26.00786,RURAL,Urbanism,211028
277,"Proportion of population using basic sanitation services, URBAN (%)",STP,Sao Tome and Principe,2012,42.31562,URBAN,Urbanism,211028
278,"Proportion of population using basic sanitation services, RURAL (%)",STP,Sao Tome and Principe,2013,27.232870000000002,RURAL,Urbanism,211028
279,"Proportion of population using basic sanitation services, URBAN (%)",STP,Sao Tome and Principe,2013,43.64508,URBAN,Urbanism,211028
280,"Proportion of population using basic sanitation services, RURAL (%)",STP,Sao Tome and Principe,2014,28.479640000000003,RURAL,Urbanism,211028
281,"Proportion of population using basic sanitation services, URBAN (%)",STP,Sao Tome and Principe,2014,44.97302,URBAN,Urbanism,211028
282,"Proportion of population using basic sanitation services, RURAL (%)",STP,Sao Tome and Principe,2015,29.74815,RURAL,Urbanism,211028
283,"Proportion of population using basic sanitation services, URBAN (%)",STP,Sao Tome and Principe,2015,46.29942,URBAN,Urbanism,211028
284,"Proportion of population using basic sanitation services, RURAL (%)",STP,Sao Tome and Principe,2016,31.038420000000002,RURAL,Urbanism,211028
285,"Proportion of population using basic sanitation services, URBAN (%)",STP,Sao Tome and Principe,2016,47.62429,URBAN,Urbanism,211028
286,"Proportion of population using basic sanitation services, RURAL (%)",STP,Sao Tome and Principe,2017,31.038420000000002,RURAL,Urbanism,211028
287,"Proportion of population using basic sanitation services, URBAN (%)",STP,Sao Tome and Principe,2017,47.62429,URBAN,Urbanism,211028
288,Prevalence of undernourishment (%),AGO,Angola,2010,37.9,ALL,Health,31127674
289,Prevalence of undernourishment (%),AGO,Angola,2011,37.0,ALL,Health,31127674
290,Prevalence of undernourishment (%),AGO,Angola,2012,35.4,ALL,Health,31127674
291,Prevalence of undernourishment (%),AGO,Angola,2013,29.2,ALL,Health,31127674
292,Prevalence of undernourishment (%),AGO,Angola,2014,23.1,ALL,Health,31127674
293,Prevalence of undernourishment (%),AGO,Angola,2015,19.0,ALL,Health,31127674
294,Prevalence of undernourishment (%),AGO,Angola,2016,19.5,ALL,Health,31127674
295,Prevalence of undernourishment (%),AGO,Angola,2017,19.4,ALL,Health,31127674
296,Prevalence of undernourishment (%),AGO,Angola,2018,18.6,ALL,Health,31127674
297,Prevalence of undernourishment (%),BRA,Brazil,2010,2.5,ALL,Health,210147125
298,Prevalence of undernourishment (%),BRA,Brazil,2011,2.5,ALL,Health,210147125
299,Prevalence of undernourishment (%),BRA,Brazil,2012,2.5,ALL,Health,210147125
300,Prevalence of undernourishment (%),BRA,Brazil,2013,2.5,ALL,Health,210147125
301,Prevalence of undernourishment (%),BRA,Brazil,2014,2.5,ALL,Health,210147125
302,Prevalence of undernourishment (%),BRA,Brazil,2015,2.5,ALL,Health,210147125
303,Prevalence of undernourishment (%),BRA,Brazil,2016,2.5,ALL,Health,210147125
304,Prevalence of undernourishment (%),BRA,Brazil,2017,2.5,ALL,Health,210147125
305,Prevalence of undernourishment (%),BRA,Brazil,2018,2.5,ALL,Health,210147125
306,Prevalence of undernourishment (%),CPV,Cabo Verde,2010,15.9,ALL,Health,543767
307,Prevalence of undernourishment (%),CPV,Cabo Verde,2011,16.5,ALL,Health,543767
308,Prevalence of undernourishment (%),CPV,Cabo Verde,2012,16.1,ALL,Health,543767
309,Prevalence of undernourishment (%),CPV,Cabo Verde,2013,16.6,ALL,Health,543767
310,Prevalence of undernourishment (%),CPV,Cabo Verde,2014,17.1,ALL,Health,543767
311,Prevalence of undernourishment (%),CPV,Cabo Verde,2015,17.6,ALL,Health,543767
312,Prevalence of undernourishment (%),CPV,Cabo Verde,2016,17.5,ALL,Health,543767
313,Prevalence of undernourishment (%),CPV,Cabo Verde,2017,17.9,ALL,Health,543767
314,Prevalence of undernourishment (%),CPV,Cabo Verde,2018,18.5,ALL,Health,543767
315,Prevalence of undernourishment (%),GIN,Guinea,2010,0.0,ALL,Health,1308975
316,Prevalence of undernourishment (%),GIN,Guinea,2011,0.0,ALL,Health,1308975
317,Prevalence of undernourishment (%),GIN,Guinea,2012,0.0,ALL,Health,1308975
318,Prevalence of undernourishment (%),GIN,Guinea,2013,0.0,ALL,Health,1308975
319,Prevalence of undernourishment (%),GIN,Guinea,2014,0.0,ALL,Health,1308975
320,Prevalence of undernourishment (%),GIN,Guinea,2015,0.0,ALL,Health,1308975
321,Prevalence of undernourishment (%),GIN,Guinea,2016,0.0,ALL,Health,1308975
322,Prevalence of undernourishment (%),GIN,Guinea,2017,0.0,ALL,Health,1308975
323,Prevalence of undernourishment (%),GIN,Guinea,2018,0.0,ALL,Health,1308975
324,Prevalence of undernourishment (%),MOZ,Mozambique,2010,24.2,ALL,Health,30066648
325,Prevalence of undernourishment (%),MOZ,Mozambique,2011,22.0,ALL,Health,30066648
326,Prevalence of undernourishment (%),MOZ,Mozambique,2012,21.1,ALL,Health,30066648
327,Prevalence of undernourishment (%),MOZ,Mozambique,2013,22.9,ALL,Health,30066648
328,Prevalence of undernourishment (%),MOZ,Mozambique,2014,26.7,ALL,Health,30066648
329,Prevalence of undernourishment (%),MOZ,Mozambique,2015,31.0,ALL,Health,30066648
330,Prevalence of undernourishment (%),MOZ,Mozambique,2016,32.9,ALL,Health,30066648
331,Prevalence of undernourishment (%),MOZ,Mozambique,2017,32.9,ALL,Health,30066648
332,Prevalence of undernourishment (%),MOZ,Mozambique,2018,32.6,ALL,Health,30066648
333,Prevalence of undernourishment (%),PRT,Portugal,2010,2.5,ALL,Health,10295909
334,Prevalence of undernourishment (%),PRT,Portugal,2011,2.5,ALL,Health,10295909
335,Prevalence of undernourishment (%),PRT,Portugal,2012,2.5,ALL,Health,10295909
336,Prevalence of undernourishment (%),PRT,Portugal,2013,2.5,ALL,Health,10295909
337,Prevalence of undernourishment (%),PRT,Portugal,2014,2.5,ALL,Health,10295909
338,Prevalence of undernourishment (%),PRT,Portugal,2015,2.5,ALL,Health,10295909
339,Prevalence of undernourishment (%),PRT,Portugal,2016,2.5,ALL,Health,10295909
340,Prevalence of undernourishment (%),PRT,Portugal,2017,2.5,ALL,Health,10295909
341,Prevalence of undernourishment (%),PRT,Portugal,2018,2.5,ALL,Health,10295909
342,Prevalence of undernourishment (%),GNB,Guinea-Bissau,2010,0.0,ALL,Health,1874303
343,Prevalence of undernourishment (%),GNB,Guinea-Bissau,2011,0.0,ALL,Health,1874303
344,Prevalence of undernourishment (%),GNB,Guinea-Bissau,2012,0.0,ALL,Health,1874303
345,Prevalence of undernourishment (%),GNB,Guinea-Bissau,2013,0.0,ALL,Health,1874303
346,Prevalence of undernourishment (%),GNB,Guinea-Bissau,2014,0.0,ALL,Health,1874303
347,Prevalence of undernourishment (%),GNB,Guinea-Bissau,2015,0.0,ALL,Health,1874303
348,Prevalence of undernourishment (%),GNB,Guinea-Bissau,2016,0.0,ALL,Health,1874303
349,Prevalence of undernourishment (%),GNB,Guinea-Bissau,2017,0.0,ALL,Health,1874303
350,Prevalence of undernourishment (%),GNB,Guinea-Bissau,2018,0.0,ALL,Health,1874303
351,Prevalence of undernourishment (%),TLS,Timor-Leste,2010,32.6,ALL,Health,1300000
352,Prevalence of undernourishment (%),TLS,Timor-Leste,2011,31.2,ALL,Health,1300000
353,Prevalence of undernourishment (%),TLS,Timor-Leste,2012,31.1,ALL,Health,1300000
354,Prevalence of undernourishment (%),TLS,Timor-Leste,2013,31.0,ALL,Health,1300000
355,Prevalence of undernourishment (%),TLS,Timor-Leste,2014,30.8,ALL,Health,1300000
356,Prevalence of undernourishment (%),TLS,Timor-Leste,2015,30.3,ALL,Health,1300000
357,Prevalence of undernourishment (%),TLS,Timor-Leste,2016,30.2,ALL,Health,1300000
358,Prevalence of undernourishment (%),TLS,Timor-Leste,2017,30.7,ALL,Health,1300000
359,Prevalence of undernourishment (%),TLS,Timor-Leste,2018,30.9,ALL,Health,1300000
360,Prevalence of undernourishment (%),STP,Sao Tome and Principe,2010,14.3,ALL,Health,211028
361,Prevalence of undernourishment (%),STP,Sao Tome and Principe,2011,15.2,ALL,Health,211028
362,Prevalence of undernourishment (%),STP,Sao Tome and Principe,2012,14.2,ALL,Health,211028
363,Prevalence of undernourishment (%),STP,Sao Tome and Principe,2013,14.1,ALL,Health,211028
364,Prevalence of undernourishment (%),STP,Sao Tome and Principe,2014,14.4,ALL,Health,211028
365,Prevalence of undernourishment (%),STP,Sao Tome and Principe,2015,14.5,ALL,Health,211028
366,Prevalence of undernourishment (%),STP,Sao Tome and Principe,2016,13.4,ALL,Health,211028
367,Prevalence of undernourishment (%),STP,Sao Tome and Principe,2017,12.1,ALL,Health,211028
368,Prevalence of undernourishment (%),STP,Sao Tome and Principe,2018,12.0,ALL,Health,211028
369,"Neonatal mortality rate (deaths per 1,000 live births)",AGO,Angola,2010,36.2,ALL,Health,31127674
370,"Neonatal mortality rate (deaths per 1,000 live births)",AGO,Angola,2011,34.9,ALL,Health,31127674
371,"Neonatal mortality rate (deaths per 1,000 live births)",AGO,Angola,2012,33.7,ALL,Health,31127674
372,"Neonatal mortality rate (deaths per 1,000 live births)",AGO,Angola,2013,32.7,ALL,Health,31127674
373,"Neonatal mortality rate (deaths per 1,000 live births)",AGO,Angola,2014,31.6,ALL,Health,31127674
374,"Neonatal mortality rate (deaths per 1,000 live births)",AGO,Angola,2015,30.6,ALL,Health,31127674
375,"Neonatal mortality rate (deaths per 1,000 live births)",AGO,Angola,2016,29.8,ALL,Health,31127674
376,"Neonatal mortality rate (deaths per 1,000 live births)",AGO,Angola,2017,29.0,ALL,Health,31127674
377,"Neonatal mortality rate (deaths per 1,000 live births)",AGO,Angola,2018,28.3,ALL,Health,31127674
378,"Neonatal mortality rate (deaths per 1,000 live births)",AGO,Angola,2019,27.6,ALL,Health,31127674
379,"Neonatal mortality rate (deaths per 1,000 live births)",BRA,Brazil,2010,11.2,ALL,Health,210147125
380,"Neonatal mortality rate (deaths per 1,000 live births)",BRA,Brazil,2011,10.7,ALL,Health,210147125
381,"Neonatal mortality rate (deaths per 1,000 live births)",BRA,Brazil,2012,10.3,ALL,Health,210147125
382,"Neonatal mortality rate (deaths per 1,000 live births)",BRA,Brazil,2013,10.0,ALL,Health,210147125
383,"Neonatal mortality rate (deaths per 1,000 live births)",BRA,Brazil,2014,9.7,ALL,Health,210147125
384,"Neonatal mortality rate (deaths per 1,000 live births)",BRA,Brazil,2015,9.4,ALL,Health,210147125
385,"Neonatal mortality rate (deaths per 1,000 live births)",BRA,Brazil,2016,9.6,ALL,Health,210147125
386,"Neonatal mortality rate (deaths per 1,000 live births)",BRA,Brazil,2017,8.5,ALL,Health,210147125
387,"Neonatal mortality rate (deaths per 1,000 live births)",BRA,Brazil,2018,8.1,ALL,Health,210147125
388,"Neonatal mortality rate (deaths per 1,000 live births)",BRA,Brazil,2019,7.9,ALL,Health,210147125
389,"Neonatal mortality rate (deaths per 1,000 live births)",CPV,Cabo Verde,2010,15.3,ALL,Health,543767
390,"Neonatal mortality rate (deaths per 1,000 live births)",CPV,Cabo Verde,2011,14.8,ALL,Health,543767
391,"Neonatal mortality rate (deaths per 1,000 live births)",CPV,Cabo Verde,2012,14.2,ALL,Health,543767
392,"Neonatal mortality rate (deaths per 1,000 live births)",CPV,Cabo Verde,2013,13.4,ALL,Health,543767
393,"Neonatal mortality rate (deaths per 1,000 live births)",CPV,Cabo Verde,2014,12.6,ALL,Health,543767
394,"Neonatal mortality rate (deaths per 1,000 live births)",CPV,Cabo Verde,2015,11.7,ALL,Health,543767
395,"Neonatal mortality rate (deaths per 1,000 live births)",CPV,Cabo Verde,2016,10.9,ALL,Health,543767
396,"Neonatal mortality rate (deaths per 1,000 live births)",CPV,Cabo Verde,2017,10.2,ALL,Health,543767
397,"Neonatal mortality rate (deaths per 1,000 live births)",CPV,Cabo Verde,2018,9.5,ALL,Health,543767
398,"Neonatal mortality rate (deaths per 1,000 live births)",CPV,Cabo Verde,2019,9.0,ALL,Health,543767
399,"Neonatal mortality rate (deaths per 1,000 live births)",GIN,Guinea,2010,34.8,ALL,Health,1308975
400,"Neonatal mortality rate (deaths per 1,000 live births)",GIN,Guinea,2011,34.2,ALL,Health,1308975
401,"Neonatal mortality rate (deaths per 1,000 live births)",GIN,Guinea,2012,33.6,ALL,Health,1308975
402,"Neonatal mortality rate (deaths per 1,000 live births)",GIN,Guinea,2013,33.0,ALL,Health,1308975
403,"Neonatal mortality rate (deaths per 1,000 live births)",GIN,Guinea,2014,32.4,ALL,Health,1308975
404,"Neonatal mortality rate (deaths per 1,000 live births)",GIN,Guinea,2015,31.9,ALL,Health,1308975
405,"Neonatal mortality rate (deaths per 1,000 live births)",GIN,Guinea,2016,31.4,ALL,Health,1308975
406,"Neonatal mortality rate (deaths per 1,000 live births)",GIN,Guinea,2017,31.1,ALL,Health,1308975
407,"Neonatal mortality rate (deaths per 1,000 live births)",GIN,Guinea,2018,30.7,ALL,Health,1308975
408,"Neonatal mortality rate (deaths per 1,000 live births)",GIN,Guinea,2019,30.4,ALL,Health,1308975
409,"Neonatal mortality rate (deaths per 1,000 live births)",MOZ,Mozambique,2010,33.7,ALL,Health,30066648
410,"Neonatal mortality rate (deaths per 1,000 live births)",MOZ,Mozambique,2011,33.1,ALL,Health,30066648
411,"Neonatal mortality rate (deaths per 1,000 live births)",MOZ,Mozambique,2012,32.6,ALL,Health,30066648
412,"Neonatal mortality rate (deaths per 1,000 live births)",MOZ,Mozambique,2013,32.0,ALL,Health,30066648
413,"Neonatal mortality rate (deaths per 1,000 live births)",MOZ,Mozambique,2014,31.4,ALL,Health,30066648
414,"Neonatal mortality rate (deaths per 1,000 live births)",MOZ,Mozambique,2015,30.9,ALL,Health,30066648
415,"Neonatal mortality rate (deaths per 1,000 live births)",MOZ,Mozambique,2016,30.3,ALL,Health,30066648
416,"Neonatal mortality rate (deaths per 1,000 live births)",MOZ,Mozambique,2017,29.8,ALL,Health,30066648
417,"Neonatal mortality rate (deaths per 1,000 live births)",MOZ,Mozambique,2018,29.2,ALL,Health,30066648
418,"Neonatal mortality rate (deaths per 1,000 live births)",MOZ,Mozambique,2019,28.5,ALL,Health,30066648
419,"Neonatal mortality rate (deaths per 1,000 live births)",PRT,Portugal,2010,2.1,ALL,Health,10295909
420,"Neonatal mortality rate (deaths per 1,000 live births)",PRT,Portugal,2011,2.1,ALL,Health,10295909
421,"Neonatal mortality rate (deaths per 1,000 live births)",PRT,Portugal,2012,2.1,ALL,Health,10295909
422,"Neonatal mortality rate (deaths per 1,000 live births)",PRT,Portugal,2013,2.1,ALL,Health,10295909
423,"Neonatal mortality rate (deaths per 1,000 live births)",PRT,Portugal,2014,2.1,ALL,Health,10295909
424,"Neonatal mortality rate (deaths per 1,000 live births)",PRT,Portugal,2015,2.1,ALL,Health,10295909
425,"Neonatal mortality rate (deaths per 1,000 live births)",PRT,Portugal,2016,2.1,ALL,Health,10295909
426,"Neonatal mortality rate (deaths per 1,000 live births)",PRT,Portugal,2017,2.0,ALL,Health,10295909
427,"Neonatal mortality rate (deaths per 1,000 live births)",PRT,Portugal,2018,2.0,ALL,Health,10295909
428,"Neonatal mortality rate (deaths per 1,000 live births)",PRT,Portugal,2019,2.0,ALL,Health,10295909
429,"Neonatal mortality rate (deaths per 1,000 live births)",GNB,Guinea-Bissau,2010,44.2,ALL,Health,1874303
430,"Neonatal mortality rate (deaths per 1,000 live births)",GNB,Guinea-Bissau,2011,42.9,ALL,Health,1874303
431,"Neonatal mortality rate (deaths per 1,000 live births)",GNB,Guinea-Bissau,2012,41.7,ALL,Health,1874303
432,"Neonatal mortality rate (deaths per 1,000 live births)",GNB,Guinea-Bissau,2013,40.6,ALL,Health,1874303
433,"Neonatal mortality rate (deaths per 1,000 live births)",GNB,Guinea-Bissau,2014,39.5,ALL,Health,1874303
434,"Neonatal mortality rate (deaths per 1,000 live births)",GNB,Guinea-Bissau,2015,38.5,ALL,Health,1874303
435,"Neonatal mortality rate (deaths per 1,000 live births)",GNB,Guinea-Bissau,2016,37.5,ALL,Health,1874303
436,"Neonatal mortality rate (deaths per 1,000 live births)",GNB,Guinea-Bissau,2017,36.7,ALL,Health,1874303
437,"Neonatal mortality rate (deaths per 1,000 live births)",GNB,Guinea-Bissau,2018,35.8,ALL,Health,1874303
438,"Neonatal mortality rate (deaths per 1,000 live births)",GNB,Guinea-Bissau,2019,35.1,ALL,Health,1874303
439,"Neonatal mortality rate (deaths per 1,000 live births)",TLS,Timor-Leste,2010,24.5,ALL,Health,1300000
440,"Neonatal mortality rate (deaths per 1,000 live births)",TLS,Timor-Leste,2011,23.8,ALL,Health,1300000
441,"Neonatal mortality rate (deaths per 1,000 live births)",TLS,Timor-Leste,2012,23.1,ALL,Health,1300000
442,"Neonatal mortality rate (deaths per 1,000 live births)",TLS,Timor-Leste,2013,22.5,ALL,Health,1300000
443,"Neonatal mortality rate (deaths per 1,000 live births)",TLS,Timor-Leste,2014,22.0,ALL,Health,1300000
444,"Neonatal mortality rate (deaths per 1,000 live births)",TLS,Timor-Leste,2015,21.4,ALL,Health,1300000
445,"Neonatal mortality rate (deaths per 1,000 live births)",TLS,Timor-Leste,2016,21.0,ALL,Health,1300000
446,"Neonatal mortality rate (deaths per 1,000 live births)",TLS,Timor-Leste,2017,20.5,ALL,Health,1300000
447,"Neonatal mortality rate (deaths per 1,000 live births)",TLS,Timor-Leste,2018,20.0,ALL,Health,1300000
448,"Neonatal mortality rate (deaths per 1,000 live births)",TLS,Timor-Leste,2019,19.6,ALL,Health,1300000
449,"Neonatal mortality rate (deaths per 1,000 live births)",STP,Sao Tome and Principe,2010,17.9,ALL,Health,211028
450,"Neonatal mortality rate (deaths per 1,000 live births)",STP,Sao Tome and Principe,2011,17.5,ALL,Health,211028
451,"Neonatal mortality rate (deaths per 1,000 live births)",STP,Sao Tome and Principe,2012,17.1,ALL,Health,211028
452,"Neonatal mortality rate (deaths per 1,000 live births)",STP,Sao Tome and Principe,2013,16.6,ALL,Health,211028
453,"Neonatal mortality rate (deaths per 1,000 live births)",STP,Sao Tome and Principe,2014,16.1,ALL,Health,211028
454,"Neonatal mortality rate (deaths per 1,000 live births)",STP,Sao Tome and Principe,2015,15.7,ALL,Health,211028
455,"Neonatal mortality rate (deaths per 1,000 live births)",STP,Sao Tome and Principe,2016,15.2,ALL,Health,211028
456,"Neonatal mortality rate (deaths per 1,000 live births)",STP,Sao Tome and Principe,2017,14.8,ALL,Health,211028
457,"Neonatal mortality rate (deaths per 1,000 live births)",STP,Sao Tome and Principe,2018,14.4,ALL,Health,211028
458,"Neonatal mortality rate (deaths per 1,000 live births)",STP,Sao Tome and Principe,2019,14.1,ALL,Health,211028
459,"Malaria incidence per 1,000 population at risk (per 1,000 population)",AGO,Angola,2010,185.51546000000002,ALL,Health,31127674
460,"Malaria incidence per 1,000 population at risk (per 1,000 population)",AGO,Angola,2011,175.98893,ALL,Health,31127674
461,"Malaria incidence per 1,000 population at risk (per 1,000 population)",AGO,Angola,2012,174.43457,ALL,Health,31127674
462,"Malaria incidence per 1,000 population at risk (per 1,000 population)",AGO,Angola,2013,180.9027,ALL,Health,31127674
463,"Malaria incidence per 1,000 population at risk (per 1,000 population)",AGO,Angola,2014,187.94324,ALL,Health,31127674
464,"Malaria incidence per 1,000 population at risk (per 1,000 population)",AGO,Angola,2015,199.99200000000002,ALL,Health,31127674
465,"Malaria incidence per 1,000 population at risk (per 1,000 population)",AGO,Angola,2016,219.99195,ALL,Health,31127674
466,"Malaria incidence per 1,000 population at risk (per 1,000 population)",AGO,Angola,2017,228.90894,ALL,Health,31127674
467,"Malaria incidence per 1,000 population at risk (per 1,000 population)",AGO,Angola,2018,228.90895,ALL,Health,31127674
468,"Malaria incidence per 1,000 population at risk (per 1,000 population)",BRA,Brazil,2010,9.81148,ALL,Health,210147125
469,"Malaria incidence per 1,000 population at risk (per 1,000 population)",BRA,Brazil,2011,7.0837,ALL,Health,210147125
470,"Malaria incidence per 1,000 population at risk (per 1,000 population)",BRA,Brazil,2012,6.37975,ALL,Health,210147125
471,"Malaria incidence per 1,000 population at risk (per 1,000 population)",BRA,Brazil,2013,4.82214,ALL,Health,210147125
472,"Malaria incidence per 1,000 population at risk (per 1,000 population)",BRA,Brazil,2014,3.5973599999999997,ALL,Health,210147125
473,"Malaria incidence per 1,000 population at risk (per 1,000 population)",BRA,Brazil,2015,3.8810300000000004,ALL,Health,210147125
474,"Malaria incidence per 1,000 population at risk (per 1,000 population)",BRA,Brazil,2016,3.22242,ALL,Health,210147125
475,"Malaria incidence per 1,000 population at risk (per 1,000 population)",BRA,Brazil,2017,5.23457,ALL,Health,210147125
476,"Malaria incidence per 1,000 population at risk (per 1,000 population)",BRA,Brazil,2018,5.12437,ALL,Health,210147125
477,"Malaria incidence per 1,000 population at risk (per 1,000 population)",CPV,Cabo Verde,2010,0.36694,ALL,Health,543767
478,"Malaria incidence per 1,000 population at risk (per 1,000 population)",CPV,Cabo Verde,2011,0.053970000000000004,ALL,Health,543767
479,"Malaria incidence per 1,000 population at risk (per 1,000 population)",CPV,Cabo Verde,2012,0.00761,ALL,Health,543767
480,"Malaria incidence per 1,000 population at risk (per 1,000 population)",CPV,Cabo Verde,2013,0.16535,ALL,Health,543767
481,"Malaria incidence per 1,000 population at risk (per 1,000 population)",CPV,Cabo Verde,2014,0.19295,ALL,Health,543767
482,"Malaria incidence per 1,000 population at risk (per 1,000 population)",CPV,Cabo Verde,2015,0.05131,ALL,Health,543767
483,"Malaria incidence per 1,000 population at risk (per 1,000 population)",CPV,Cabo Verde,2016,0.34758,ALL,Health,543767
484,"Malaria incidence per 1,000 population at risk (per 1,000 population)",CPV,Cabo Verde,2017,3.0268599999999997,ALL,Health,543767
485,"Malaria incidence per 1,000 population at risk (per 1,000 population)",CPV,Cabo Verde,2018,0.01415,ALL,Health,543767
486,"Malaria incidence per 1,000 population at risk (per 1,000 population)",GIN,Guinea,2010,414.66242,ALL,Health,1308975
487,"Malaria incidence per 1,000 population at risk (per 1,000 population)",GIN,Guinea,2011,426.89500999999996,ALL,Health,1308975
488,"Malaria incidence per 1,000 population at risk (per 1,000 population)",GIN,Guinea,2012,427.79641,ALL,Health,1308975
489,"Malaria incidence per 1,000 population at risk (per 1,000 population)",GIN,Guinea,2013,408.07867999999996,ALL,Health,1308975
490,"Malaria incidence per 1,000 population at risk (per 1,000 population)",GIN,Guinea,2014,381.09132999999997,ALL,Health,1308975
